#{"t_start": 1721932980.5830736, "env_id": "None"}
r,l,t
-1663.9954,301,6.438613
-1637.7231,301,6.438613
-1497.284,301,6.438613
-1582.1931,301,6.438613
-1881.37,301,12.045573
-1688.9976,301,12.045573
-2166.0217,301,12.045573
-1721.5045,301,12.048244
-1636.5236,301,17.573887
-1571.6836,301,17.573887
-1601.0555,301,17.573887
-1579.2786,301,17.573887
-1783.2648,301,23.523174
-1668.4565,301,23.523174
-1642.2532,301,23.523174
-1748.4792,301,23.523174
-1952.2196,301,29.197899
-1614.7356,301,29.197899
-2049.8757,301,29.197899
-1729.6321,301,29.197899
-1866.2509,301,35.256408
-1911.8767,301,35.256408
-2178.6147,301,35.256408
-1526.2441,301,35.256408
-1710.9385,301,41.097453
-1657.9647,301,41.097453
-1701.6765,301,41.097453
-1671.2527,301,41.097453
-1527.263,301,46.758998
-1669.7637,301,46.758998
-1819.3046,301,46.758998
-1672.582,301,46.758998
-1659.5193,301,52.507799
-1808.811,301,52.507799
-1883.2756,301,52.507799
-1740.1006,301,52.507799
-1553.0623,301,58.176402
-1914.6531,301,58.176402
-1822.3113,301,58.176402
-1578.4514,301,58.176402
-1567.305,301,63.83066
-1757.3204,301,63.83066
-1565.0812,301,63.83066
-1493.6504,301,63.83066
-1500.6295,301,69.27472
-1713.8387,301,69.27472
-1737.7957,301,69.27472
-1649.8357,301,69.27472
-1664.7462,301,75.126686
-1761.3175,301,75.126686
-1677.4556,301,75.126686
-1765.4622,301,75.126686
-1902.7114,301,80.779514
-1647.6656,301,80.779514
-1712.8954,301,80.779514
-1699.3171,301,80.779514
-1887.8873,301,86.409775
-1887.6727,301,86.409775
-1977.849,301,86.409775
-1714.8307,301,86.409775
-371.89658,301,92.154988
-399.64548,301,92.154988
-379.5873,301,92.154988
-421.32156,301,92.154988
-359.35135,301,97.953463
-349.05585,301,97.953463
-356.43524,301,97.953463
-394.7669,301,97.953463
-384.1231,301,103.570513
-375.5697,301,103.570513
-359.1195,301,103.570513
-354.56232,301,103.570513
-395.35248,301,109.378034
-386.87854,301,109.378034
-368.86563,301,109.378034
-375.68372,301,109.378034
-363.0131,301,115.173261
-364.44922,301,115.173261
-378.3645,301,115.173261
-402.95847,301,115.173261
-355.9742,301,120.812207
-359.184,301,120.812207
-362.6861,301,120.812207
-369.2536,301,120.812207
-373.4547,301,126.438473
-444.65506,301,126.438473
-354.1085,301,126.438473
-335.4264,301,126.438473
-384.80374,301,132.095018
-386.46536,301,132.095018
-367.13547,301,132.095018
-390.01868,301,132.095018
-363.31653,301,137.745109
-404.4224,301,137.745109
-364.19183,301,137.745109
-362.80917,301,137.745109
-394.8494,301,143.51811
-372.1072,301,143.51811
-402.76608,301,143.51811
-353.72232,301,143.51811
-328.59885,301,149.257477
-408.8756,301,149.257477
-361.59955,301,149.257477
-372.0355,301,149.257477
-353.2789,301,154.975513
-377.44495,301,154.975513
-369.08484,301,154.975513
-328.21585,301,154.975513
-346.63483,301,160.748158
-390.08014,301,160.748158
-413.94495,301,160.748158
-394.42093,301,160.748158
-445.438,301,166.83271
-366.33652,301,166.83271
-378.20663,301,166.83271
-384.26004,301,166.83271
-456.02338,301,172.680384
-346.28537,301,172.680384
-385.15997,301,172.680384
-398.6498,301,172.680384
-394.99152,301,178.413168
-395.5847,301,178.413168
-345.86884,301,178.413168
-412.51685,301,178.413168
-355.41113,301,184.200535
-409.59692,301,184.200535
-409.432,301,184.200535
-366.93683,301,184.200535
-397.36725,301,189.904132
-401.77533,301,189.904132
-360.01416,301,189.904132
-368.2138,301,189.904132
-383.69077,301,195.735002
-409.22205,301,195.735002
-430.69098,301,195.735002
-380.53455,301,195.735002
-371.54462,301,201.522451
-375.48245,301,201.522451
-357.59518,301,201.522451
-353.09827,301,201.522451
-331.36182,301,207.407195
-398.76752,301,207.407195
-344.49805,301,207.407195
-390.8734,301,207.407195
-405.1625,301,213.286139
-359.04315,301,213.286139
-387.5801,301,213.286139
-374.46796,301,213.286139
-333.41074,301,219.144179
-388.63647,301,219.144179
-384.4016,301,219.144179
-376.65747,301,219.144179
